tconst,averageRating,numVotes,runtimeMinutes,genres,directors,writers,actor
tt0295178,6.2,214440,94,"Action,Adventure,Comedy",nm0005366,"nm0000196,nm0567112",nm0000196
tt0295254,3.4,21934,101,"Crime,Horror,Thriller",nm0540532,"nm0224537,nm0185386,nm1288243",nm0001151
tt0295297,7.4,650960,161,"Adventure,Family,Fantasy",nm0001060,"nm0746830,nm0460141",nm0705356
tt0295427,3.3,25931,80,"Adventure,Comedy,Family",nm0086690,"nm0001022,nm0325214",nm0001022
tt0295700,6.1,124394,84,"Horror,Thriller",nm0003343,nm0568416,nm0244630
tt0295701,5.8,182246,124,"Action,Adventure,Thriller",nm0003418,nm0929186,nm0004874
tt0295721,5.8,43927,84,"Action,Comedy,Crime",nm0470443,nm0000108,nm0618651
tt0296042,7.0,57649,129,"Action,Crime,Drama",nm0586281,"nm0766499,nm1152460",nm0038355
tt0296572,6.6,233948,119,"Action,Adventure,Sci-Fi",nm0878638,"nm0923646,nm0003117,nm0878638",nm0004874
tt0297181,5.4,52331,97,"Action,Adventure,Comedy",nm0858525,"nm0277643,nm0295053,nm0926729,nm0926727,nm0771065,nm0740115",nm0000552
tt0297284,6.3,62400,106,"Crime,Horror,Thriller",nm0001317,"nm0469694,nm0110778",nm0000174
tt0297884,7.3,47563,107,"Drama,Romance",nm0001331,nm0001331,nm0000194
